"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Georgetown","IL","1728950","=""1728950""","23.72"
"Georgetown","IL","1728963","=""1728963""","N/A"
"Germantown","IL","1729041","=""1729041""","0.00"
"Germantown Hills","IL","1729080","=""1729080""","N/A"
"German Valley","IL","1729093","=""1729093""","N/A"
"Gibson City","IL","1729125","=""1729125""","43.74"
"Gifford","IL","1729145","=""1729145""","N/A"
"Gilberts","IL","1729171","=""1729171""","0.00"
"Gillespie","IL","1729236","=""1729236""","24.03"
"Gilman","IL","1729275","=""1729275""","17.37"
"Gilson","IL","1729340","=""1729340""","N/A"
"Girard","IL","1729392","=""1729392""","21.46"
"Gladstone","IL","1729431","=""1729431""","N/A"
"Glasford","IL","1729483","=""1729483""","35.92"
"Glasgow","IL","1729496","=""1729496""","N/A"
"Glen Carbon","IL","1729639","=""1729639""","0.00"
"Glencoe","IL","1729652","=""1729652""","0.00"
"Glendale Heights","IL","1729730","=""1729730""","12.15"
"Glen Ellyn","IL","1729756","=""1729756""","10.39"
"Glenview","IL","1729938","=""1729938""","14.02"
"Glenwood","IL","1730029","=""1730029""","0.00"
"Godfrey","IL","1730094","=""1730094""","5.34"
"Godley","IL","1730120","=""1730120""","N/A"
"Golconda","IL","1730133","=""1730133""","N/A"
"Golden","IL","1730159","=""1730159""","N/A"
"Golden Gate","IL","1730250","=""1730250""","N/A"
"Golf","IL","1730328","=""1730328""","N/A"
"Goodfield","IL","1730445","=""1730445""","N/A"
"Good Hope","IL","1730458","=""1730458""","N/A"
"Goofy Ridge","IL","1730510","=""1730510""","N/A"
"Goreville","IL","1730575","=""1730575""","16.15"
"Gorham","IL","1730588","=""1730588""","N/A"
"Grafton","IL","1730653","=""1730653""","N/A"
"Grand Detour","IL","1730705","=""1730705""","N/A"
"Grand Ridge","IL","1730757","=""1730757""","N/A"
"Grand Tower","IL","1730770","=""1730770""","N/A"
"Grandview","IL","1730835","=""1730835""","0.00"
"Grandwood Park","IL","1730900","=""1730900""","78.68"
"Granite City","IL","1730926","=""1730926""","26.03"
