Census Tract,State,FIPS Code,Formatted FIPS,"Mean travel time to work in minutes, according the US Census Bur",,
17031063100,IL,17031063100,17031063100,32.9,,
17031063200,IL,17031063200,17031063200,33.2,,
17031063301,IL,17031063301,17031063301,34.6,,
17031063302,IL,17031063302,17031063302,39,,
17031063303,IL,17031063303,17031063303,39.4,,
17031063400,IL,17031063400,17031063400,34.9,,
17031070101,IL,17031070101,17031070101,34.2,,
17031070102,IL,17031070102,17031070102,35.2,,
17031070103,IL,17031070103,17031070103,33.9,,
17031070200,IL,17031070200,17031070200,34.9,,
17031070300,IL,17031070300,17031070300,29.7,,
17031070400,IL,17031070400,17031070400,29.9,,
17031070500,IL,17031070500,17031070500,33.5,,
17031070600,IL,17031070600,17031070600,36.7,,
17031070700,IL,17031070700,17031070700,33.8,,
17031071000,IL,17031071000,17031071000,22.1,,
17031071100,IL,17031071100,17031071100,26.3,,
17031071200,IL,17031071200,17031071200,29.7,,
17031071300,IL,17031071300,17031071300,29.5,,
17031071400,IL,17031071400,17031071400,30.1,,
17031071500,IL,17031071500,17031071500,29.8,,
17031071600,IL,17031071600,17031071600,30.8,,
17031071700,IL,17031071700,17031071700,26.7,,
17031071800,IL,17031071800,17031071800,26.2,,
17031080100,IL,17031080100,17031080100,29.3,,
17031080201,IL,17031080201,17031080201,29.6,,
17031080202,IL,17031080202,17031080202,27.5,,
17031080300,IL,17031080300,17031080300,28.6,,
17031080400,IL,17031080400,17031080400,32,,
17031081000,IL,17031081000,17031081000,23.3,,
17031081100,IL,17031081100,17031081100,26.3,,
17031081201,IL,17031081201,17031081201,22.9,,
17031081202,IL,17031081202,17031081202,26,,
17031081300,IL,17031081300,17031081300,25.3,,
17031081401,IL,17031081401,17031081401,22.9,,
17031081402,IL,17031081402,17031081402,26,,
17031081403,IL,17031081403,17031081403,27,,
17031081500,IL,17031081500,17031081500,25,,
17031081600,IL,17031081600,17031081600,25,,
17031081700,IL,17031081700,17031081700,27.3,,
17031081800,IL,17031081800,17031081800,26.4,,
17031081900,IL,17031081900,17031081900,29.9,,
17031090100,IL,17031090100,17031090100,27.3,,
17031090200,IL,17031090200,17031090200,33.6,,
17031090300,IL,17031090300,17031090300,31.2,,
17031100100,IL,17031100100,17031100100,31.7,,
17031100200,IL,17031100200,17031100200,32,,
17031100300,IL,17031100300,17031100300,28.4,,
17031100400,IL,17031100400,17031100400,31.7,,
17031100500,IL,17031100500,17031100500,29.9,,
17031100600,IL,17031100600,17031100600,35.1,,
17031100700,IL,17031100700,17031100700,31.4,,
17031110100,IL,17031110100,17031110100,30.3,,
17031110200,IL,17031110200,17031110200,28.9,,
17031110300,IL,17031110300,17031110300,30.2,,
17031110400,IL,17031110400,17031110400,36.2,,
17031110501,IL,17031110501,17031110501,38.5,,
17031110502,IL,17031110502,17031110502,43.6,,
17031120100,IL,17031120100,17031120100,31.9,,
17031120200,IL,17031120200,17031120200,32.2,,
17031120300,IL,17031120300,17031120300,31.4,,
17031120400,IL,17031120400,17031120400,34.2,,
17031130100,IL,17031130100,17031130100,30.1,,
17031130200,IL,17031130200,17031130200,30.5,,
17031130300,IL,17031130300,17031130300,34.2,,
17031140100,IL,17031140100,17031140100,38.5,,
17031140200,IL,17031140200,17031140200,36.6,,
17031140301,IL,17031140301,17031140301,35,,
17031140302,IL,17031140302,17031140302,36.2,,
17031140400,IL,17031140400,17031140400,38.4,,
17031140500,IL,17031140500,17031140500,33.9,,
17031140601,IL,17031140601,17031140601,36.2,,
17031140602,IL,17031140602,17031140602,37.3,,
17031140701,IL,17031140701,17031140701,35.1,,
17031140702,IL,17031140702,17031140702,36,,
17031140800,IL,17031140800,17031140800,38.5,,
17031150200,IL,17031150200,17031150200,38.4,,
17031150300,IL,17031150300,17031150300,34.9,,
17031150401,IL,17031150401,17031150401,37.2,,
17031150402,IL,17031150402,17031150402,36,,
17031150501,IL,17031150501,17031150501,35.4,,
17031150502,IL,17031150502,17031150502,38.5,,
17031150600,IL,17031150600,17031150600,41.3,,
17031150700,IL,17031150700,17031150700,38.3,,
17031150800,IL,17031150800,17031150800,35.8,,
17031151001,IL,17031151001,17031151001,38.3,,
17031151002,IL,17031151002,17031151002,35,,
17031151100,IL,17031151100,17031151100,37.8,,
17031151200,IL,17031151200,17031151200,35.9,,
17031160100,IL,17031160100,17031160100,33.6,,
17031160200,IL,17031160200,17031160200,33.6,,
17031160300,IL,17031160300,17031160300,33.2,,
17031160400,IL,17031160400,17031160400,33.8,,
17031160501,IL,17031160501,17031160501,31.7,,
17031160502,IL,17031160502,17031160502,34.4,,
17031160601,IL,17031160601,17031160601,38.3,,
17031160602,IL,17031160602,17031160602,35.7,,
17031160700,IL,17031160700,17031160700,31.3,,
17031160800,IL,17031160800,17031160800,34.5,,
17031160900,IL,17031160900,17031160900,36.7,,
17031161000,IL,17031161000,17031161000,32.5,,
17031161100,IL,17031161100,17031161100,36.4,,
17031161200,IL,17031161200,17031161200,35.3,,
17031161300,IL,17031161300,17031161300,35.7,,
17031170100,IL,17031170100,17031170100,36.4,,
17031170200,IL,17031170200,17031170200,39.1,,
17031170300,IL,17031170300,17031170300,36.2,,
17031170400,IL,17031170400,17031170400,39.7,,
17031170500,IL,17031170500,17031170500,35.8,,
17031170600,IL,17031170600,17031170600,34.8,,
17031170700,IL,17031170700,17031170700,36.9,,
17031170800,IL,17031170800,17031170800,38.3,,
17031170900,IL,17031170900,17031170900,41.4,,
17031171000,IL,17031171000,17031171000,37.4,,
17031171100,IL,17031171100,17031171100,36.4,,
17031180100,IL,17031180100,17031180100,40,,
17031190100,IL,17031190100,17031190100,36.9,,
17031190200,IL,17031190200,17031190200,37.6,,
17031190300,IL,17031190300,17031190300,37.9,,
17031190401,IL,17031190401,17031190401,39.9,,
17031190402,IL,17031190402,17031190402,37,,
17031190601,IL,17031190601,17031190601,41.6,,
17031190602,IL,17031190602,17031190602,34.8,,
17031190701,IL,17031190701,17031190701,37.3,,
17031190702,IL,17031190702,17031190702,43.5,,
17031190800,IL,17031190800,17031190800,38.2,,
17031190900,IL,17031190900,17031190900,33.4,,
17031191000,IL,17031191000,17031191000,38.8,,
17031191100,IL,17031191100,17031191100,38.1,,
17031191200,IL,17031191200,17031191200,39.1,,
17031191301,IL,17031191301,17031191301,37.2,,
17031191302,IL,17031191302,17031191302,33.7,,
17031200100,IL,17031200100,17031200100,38,,
17031200200,IL,17031200200,17031200200,35.6,,
17031200300,IL,17031200300,17031200300,35.3,,
17031200401,IL,17031200401,17031200401,33.6,,
17031200402,IL,17031200402,17031200402,40.1,,
17031210100,IL,17031210100,17031210100,42.5,,
17031210400,IL,17031210400,17031210400,33.1,,
17031210501,IL,17031210501,17031210501,34.9,,
17031210502,IL,17031210502,17031210502,33.6,,
17031210601,IL,17031210601,17031210601,36.7,,
17031210602,IL,17031210602,17031210602,34,,
17031210700,IL,17031210700,17031210700,31.4,,
17031210800,IL,17031210800,17031210800,36.2,,
17031210900,IL,17031210900,17031210900,33.7,,
17031220300,IL,17031220300,17031220300,30.6,,
17031220400,IL,17031220400,17031220400,32.6,,
17031220500,IL,17031220500,17031220500,31.9,,
17031220601,IL,17031220601,17031220601,33.7,,
17031220602,IL,17031220602,17031220602,32.7,,
17031220701,IL,17031220701,17031220701,32.2,,
17031220702,IL,17031220702,17031220702,36.5,,
17031220901,IL,17031220901,17031220901,31.6,,
17031220902,IL,17031220902,17031220902,29.6,,
17031221000,IL,17031221000,17031221000,33.9,,
17031221100,IL,17031221100,17031221100,29.6,,
17031221200,IL,17031221200,17031221200,31.9,,
17031221300,IL,17031221300,17031221300,30.5,,
17031221400,IL,17031221400,17031221400,34.1,,
17031221500,IL,17031221500,17031221500,30.8,,
17031221600,IL,17031221600,17031221600,31.9,,
17031222200,IL,17031222200,17031222200,31.7,,
17031222500,IL,17031222500,17031222500,30,,
17031222600,IL,17031222600,17031222600,31.2,,
17031222700,IL,17031222700,17031222700,32,,
17031222800,IL,17031222800,17031222800,33.1,,
17031222900,IL,17031222900,17031222900,30.8,,
17031230100,IL,17031230100,17031230100,35.4,,
17031230200,IL,17031230200,17031230200,36.7,,
17031230300,IL,17031230300,17031230300,36.7,,
17031230400,IL,17031230400,17031230400,39.4,,
17031230500,IL,17031230500,17031230500,33.4,,
17031230600,IL,17031230600,17031230600,38,,
17031230700,IL,17031230700,17031230700,35.5,,
17031230800,IL,17031230800,17031230800,33.7,,
17031230900,IL,17031230900,17031230900,41,,
17031231100,IL,17031231100,17031231100,43.1,,
17031231200,IL,17031231200,17031231200,41.8,,
17031231500,IL,17031231500,17031231500,39.4,,
17031240200,IL,17031240200,17031240200,33.1,,
17031240300,IL,17031240300,17031240300,27.8,,
17031240500,IL,17031240500,17031240500,28.2,,
17031240600,IL,17031240600,17031240600,30.3,,
17031240700,IL,17031240700,17031240700,33.1,,
17031240800,IL,17031240800,17031240800,27.6,,
17031240900,IL,17031240900,17031240900,31.5,,
17031241000,IL,17031241000,17031241000,34.2,,
17031241100,IL,17031241100,17031241100,31.6,,
17031241200,IL,17031241200,17031241200,31.7,,
17031241300,IL,17031241300,17031241300,30.6,,
17031241400,IL,17031241400,17031241400,31.4,,
17031241500,IL,17031241500,17031241500,28.8,,
17031241600,IL,17031241600,17031241600,31,,
17031242000,IL,17031242000,17031242000,28.8,,
17031242100,IL,17031242100,17031242100,26.9,,
17031242200,IL,17031242200,17031242200,30.4,,
17031242300,IL,17031242300,17031242300,28.8,,
17031242400,IL,17031242400,17031242400,31.5,,
17031242500,IL,17031242500,17031242500,32.1,,
17031242600,IL,17031242600,17031242600,29.3,,
17031242700,IL,17031242700,17031242700,32.2,,
17031242800,IL,17031242800,17031242800,36.1,,
17031242900,IL,17031242900,17031242900,34.9,,
17031243000,IL,17031243000,17031243000,31.2,,
17031243100,IL,17031243100,17031243100,24.6,,
17031243200,IL,17031243200,17031243200,24.2,,
17031243300,IL,17031243300,17031243300,27.6,,
17031243400,IL,17031243400,17031243400,27.2,,
17031243500,IL,17031243500,17031243500,25.5,,
17031250200,IL,17031250200,17031250200,36.7,,
17031250300,IL,17031250300,17031250300,38.1,,
17031250400,IL,17031250400,17031250400,38.2,,
17031250500,IL,17031250500,17031250500,33.5,,
17031250600,IL,17031250600,17031250600,36.6,,
17031250700,IL,17031250700,17031250700,41.3,,
17031250800,IL,17031250800,17031250800,36.3,,
17031251000,IL,17031251000,17031251000,45.2,,
17031251100,IL,17031251100,17031251100,39.3,,
17031251200,IL,17031251200,17031251200,31.3,,
17031251300,IL,17031251300,17031251300,37.9,,
17031251400,IL,17031251400,17031251400,37.1,,
17031251500,IL,17031251500,17031251500,37.4,,
17031251600,IL,17031251600,17031251600,40.2,,
17031251700,IL,17031251700,17031251700,30.3,,
17031251800,IL,17031251800,17031251800,40.1,,
17031251900,IL,17031251900,17031251900,37.9,,
17031252000,IL,17031252000,17031252000,39.9,,
17031252101,IL,17031252101,17031252101,41.6,,
17031252102,IL,17031252102,17031252102,39,,
17031252201,IL,17031252201,17031252201,32.8,,
17031252202,IL,17031252202,17031252202,38.1,,
17031260100,IL,17031260100,17031260100,38.9,,
17031260200,IL,17031260200,17031260200,33.7,,
17031260300,IL,17031260300,17031260300,29.8,,
17031260400,IL,17031260400,17031260400,34.8,,
17031260500,IL,17031260500,17031260500,32.2,,
17031260600,IL,17031260600,17031260600,38,,
17031260700,IL,17031260700,17031260700,43.1,,
17031260800,IL,17031260800,17031260800,35.5,,
17031260900,IL,17031260900,17031260900,33.5,,
17031261000,IL,17031261000,17031261000,35.8,,
17031270500,IL,17031270500,17031270500,40.4,,
17031271200,IL,17031271200,17031271200,34,,
17031271300,IL,17031271300,17031271300,33.3,,
17031271400,IL,17031271400,17031271400,34.7,,
17031271500,IL,17031271500,17031271500,44.3,,
17031271800,IL,17031271800,17031271800,37.9,,
17031280100,IL,17031280100,17031280100,27.6,,
17031280400,IL,17031280400,17031280400,32.7,,
17031280800,IL,17031280800,17031280800,24.6,,
17031280900,IL,17031280900,17031280900,37.6,,
17031281900,IL,17031281900,17031281900,23.7,,
17031282700,IL,17031282700,17031282700,28.2,,
17031282800,IL,17031282800,17031282800,23.9,,
17031283100,IL,17031283100,17031283100,27.8,,
17031283200,IL,17031283200,17031283200,27.1,,
17031283800,IL,17031283800,17031283800,33.2,,
17031290900,IL,17031290900,17031290900,38.7,,
17031291200,IL,17031291200,17031291200,41.2,,
17031291600,IL,17031291600,17031291600,30,,
17031292200,IL,17031292200,17031292200,32.3,,
17031292400,IL,17031292400,17031292400,42,,
17031292500,IL,17031292500,17031292500,34.1,,
17031300500,IL,17031300500,17031300500,37.2,,
17031300600,IL,17031300600,17031300600,32.3,,
17031300700,IL,17031300700,17031300700,39.4,,
17031300800,IL,17031300800,17031300800,37.9,,
17031300900,IL,17031300900,17031300900,36,,
17031301100,IL,17031301100,17031301100,34,,
17031301200,IL,17031301200,17031301200,34.9,,
17031301600,IL,17031301600,17031301600,34.5,,
17031301701,IL,17031301701,17031301701,32.4,,
17031301702,IL,17031301702,17031301702,37.8,,
17031301801,IL,17031301801,17031301801,37.2,,
17031301802,IL,17031301802,17031301802,34.4,,
